0 keeps them until the user deletes them.,0 les conserve jusqu'à ce que l'utilisateur les supprime.
AI provider,Fournisseur d'IA
API endpoint,Point de terminaison de l'API
Accent colour,Couleur d'accent
Accent edge,Liseré d'accent
"Add at least one page pattern, or show the assistant everywhere.","Ajoutez au moins un modèle de page, ou affichez l'assistant partout."
All borders,Toutes les bordures
Allowed roles,Rôles autorisés
Application context,Contexte de l'application
"Applies to list views, report views, child tables and grids.","S'applique aux vues liste, aux vues rapport, aux tableaux enfants et aux grilles."
Ask a question…,Posez une question…
Assistant hidden for this session. Open it again from your user menu.,Assistant masqué pour cette session. Rouvrez-le depuis votre menu utilisateur.
Assistant is typing,L'assistant écrit
Assistant message bubble,Bulle des messages de l'assistant
Assistant name,Nom de l'assistant
Assistant not ready,Assistant non prêt
Assistant said:,L'assistant a dit :
Azure OpenAI needs the full chat completions URL as the API endpoint.,Azure OpenAI nécessite l'URL complète de chat/completions comme point de terminaison.
Back to conversation,Retour à la conversation
Background tint,Teinte de fond
Between 0 and 50.,Entre 0 et 50.
Border colour,Couleur des bordures
Border width (px),Épaisseur des bordures (px)
Borders,Bordures
Borders and spacing,Bordures et espacement
Bottom left,En bas à gauche
Bottom right,En bas à droite
Buttons,Boutons
Cell padding (px),Marge intérieure des cellules (px)
Centre,Au centre
Chatbot Conversation,Conversation de l'assistant
Chatbot Message,Message de l'assistant
Chatbot Settings,Paramètres de l'assistant
Chatbot Settings has not been created yet.,Les paramètres de l'assistant n'ont pas encore été créés.
Chatbot Suggestion,Suggestion de l'assistant
Close assistant,Fermer l'assistant
Collapse sidebar,Réduire la barre latérale
Connection failed,Échec de la connexion
Connection works,La connexion fonctionne
Contacting the AI provider,Contact du fournisseur d'IA
Conversation history,Historique des conversations
Conversation history is turned off on this site.,L'historique des conversations est désactivé sur ce site.
Conversations kept per user,Conversations conservées par utilisateur
Corner radius (px),Arrondi des coins (px)
Could not load this conversation. Check your connection and try again.,Impossible de charger cette conversation. Vérifiez votre connexion et réessayez.
Could not load your conversations.,Impossible de charger vos conversations.
Current page and module,Page et module actuels
Delete all conversations,Supprimer toutes les conversations
Delete all your conversations with the assistant?,Supprimer toutes vos conversations avec l'assistant ?
Delete conversation,Supprimer la conversation
Delete idle conversations after (days),Supprimer les conversations inactives après (jours)
Delete this conversation? This cannot be undone.,Supprimer cette conversation ? Cette action est irréversible.
Document: form views. List: list and report views.,Document : vues formulaire. Liste : vues liste et rapport.
Don't share,Ne pas partager
Edges,Aux extrémités
Empty shows the suggestion in every language.,Vide : la suggestion s'affiche dans toutes les langues.
Enable assistant,Activer l'assistant
"Enter to send, Shift+Enter for a new line","Entrée pour envoyer, Maj+Entrée pour aller à la ligne"
Everywhere,Partout
Everywhere except listed pages,Partout sauf sur les pages listées
Expand sidebar,Développer la barre latérale
Fields of the open document,Champs du document ouvert
Fill in {0} before enabling the assistant.,Renseignez {0} avant d'activer l'assistant.
Header,En-tête
Header background,Fond de l'en-tête
Header text,Texte de l'en-tête
Header weight,Graisse de l'en-tête
Hello {0}! How can I help you today?,Bonjour {0} ! Comment puis-je vous aider aujourd'hui ?
Hello! How can I help you today?,Bonjour ! Comment puis-je vous aider aujourd'hui ?
Horizontal lines,Lignes horizontales
Hover,Survol
Hover background,Fond au survol
Invalid message role: {0},Rôle de message invalide : {0}
Keep conversation history,Conserver l'historique des conversations
Last message,Dernier message
Leave a colour empty to follow the active Myrmex theme.,Laissez une couleur vide pour suivre le thème Myrmex actif.
Leave empty for the provider's default. Azure: the full chat/completions URL including api-version.,Laissez vide pour la valeur par défaut du fournisseur. Azure : l'URL chat/completions complète avec api-version.
Leave empty to allow every Desk user. Portal (website) users never see the assistant.,Laissez vide pour autoriser tous les utilisateurs du Desk. Les utilisateurs du portail ne voient jamais l'assistant.
Maximum document fields,Nombre maximal de champs du document
Maximum message length (characters),Longueur maximale d'un message (caractères)
Maximum reply tokens,Nombre maximal de jetons de réponse
Messages per conversation,Messages par conversation
Messages per user per day,Messages par utilisateur par jour
Messages per user per minute,Messages par utilisateur par minute
Minimal,Minimal
Minimize,Réduire
Myrmex Assistant,Assistant Myrmex
Never share these DocTypes,Ne jamais partager ces DocTypes
New conversation,Nouvelle conversation
New {0},Nouveau {0}
No saved conversations yet.,Aucune conversation enregistrée pour l'instant.
"One Desk route per line, * as wildcard. Examples: Form/Sales Order/*, List/*, Workspaces/Selling","Une route du Desk par ligne, * comme joker. Exemples : Form/Sales Order/*, List/*, Workspaces/Selling"
