0 keeps them until the user deletes them.,القيمة 0 تحتفظ بها حتى يحذفها المستخدم.
AI provider,مزوّد الذكاء الاصطناعي
API endpoint,عنوان واجهة البرمجة (API)
Accent colour,لون التمييز
Accent edge,حافة ملوّنة
"Add at least one page pattern, or show the assistant everywhere.",أضف نمط صفحة واحدًا على الأقل، أو اعرض المساعد في كل الصفحات.
All borders,كل الحدود
Allowed roles,الأدوار المسموح بها
Application context,سياق التطبيق
"Applies to list views, report views, child tables and grids.",ينطبق على شاشات القوائم والتقارير والجداول الفرعية والشبكات.
Ask a question…,اطرح سؤالًا…
Assistant hidden for this session. Open it again from your user menu.,تم إخفاء المساعد لهذه الجلسة. يمكنك فتحه مجددًا من قائمة المستخدم.
Assistant is typing,المساعد يكتب
Assistant message bubble,فقاعة رسائل المساعد
Assistant name,اسم المساعد
Assistant not ready,المساعد غير جاهز
Assistant said:,قال المساعد:
Azure OpenAI needs the full chat completions URL as the API endpoint.,يتطلب Azure OpenAI عنوان chat/completions الكامل كعنوان لواجهة البرمجة.
Back to conversation,العودة إلى المحادثة
Background tint,تظليل الخلفية
Between 0 and 50.,بين 0 و50.
Border colour,لون الحدود
Border width (px),سماكة الحدود (px)
Borders,الحدود
Borders and spacing,الحدود والتباعد
Bottom left,أسفل اليسار
Bottom right,أسفل اليمين
Buttons,أزرار
Cell padding (px),الحشو الداخلي للخلايا (px)
Centre,في الوسط
Chatbot Conversation,محادثة المساعد
Chatbot Message,رسالة المساعد
Chatbot Settings,إعدادات المساعد
Chatbot Settings has not been created yet.,لم يتم إنشاء إعدادات المساعد بعد.
Chatbot Suggestion,اقتراح المساعد
Close assistant,إغلاق المساعد
Collapse sidebar,طيّ الشريط الجانبي
Connection failed,فشل الاتصال
Connection works,الاتصال يعمل
Contacting the AI provider,جارٍ الاتصال بمزوّد الذكاء الاصطناعي
Conversation history,سجل المحادثات
Conversation history is turned off on this site.,سجل المحادثات معطّل في هذا الموقع.
Conversations kept per user,عدد المحادثات المحفوظة لكل مستخدم
Corner radius (px),نصف قطر الزوايا (px)
Could not load this conversation. Check your connection and try again.,تعذّر تحميل هذه المحادثة. تحقّق من اتصالك وحاول مجددًا.
Could not load your conversations.,تعذّر تحميل محادثاتك.
Current page and module,الصفحة والوحدة الحاليتان
Delete all conversations,حذف كل المحادثات
Delete all your conversations with the assistant?,هل تريد حذف كل محادثاتك مع المساعد؟
Delete conversation,حذف المحادثة
Delete idle conversations after (days),حذف المحادثات غير النشطة بعد (أيام)
Delete this conversation? This cannot be undone.,هل تريد حذف هذه المحادثة؟ لا يمكن التراجع عن ذلك.
Document: form views. List: list and report views.,مستند: شاشات النماذج. قائمة: شاشات القوائم والتقارير.
Don't share,عدم المشاركة
Edges,عند الطرفين
Empty shows the suggestion in every language.,إذا تُرك فارغًا يظهر الاقتراح بكل اللغات.
Enable assistant,تفعيل المساعد
"Enter to send, Shift+Enter for a new line",Enter للإرسال، وShift+Enter لسطر جديد
Everywhere,في كل مكان
Everywhere except listed pages,في كل مكان باستثناء الصفحات المدرجة
Expand sidebar,توسيع الشريط الجانبي
Fields of the open document,حقول المستند المفتوح
Fill in {0} before enabling the assistant.,املأ {0} قبل تفعيل المساعد.
Header,الرأس
Header background,خلفية الرأس
Header text,نص الرأس
Header weight,سماكة خط الرأس
Hello {0}! How can I help you today?,مرحبًا {0}! كيف يمكنني مساعدتك اليوم؟
Hello! How can I help you today?,مرحبًا! كيف يمكنني مساعدتك اليوم؟
Horizontal lines,خطوط أفقية
Hover,التمرير
Hover background,الخلفية عند التمرير
Invalid message role: {0},دور رسالة غير صالح: {0}
Keep conversation history,الاحتفاظ بسجل المحادثات
Last message,آخر رسالة
Leave a colour empty to follow the active Myrmex theme.,اترك اللون فارغًا ليتبع سمة Myrmex النشطة.
Leave empty for the provider's default. Azure: the full chat/completions URL including api-version.,اتركه فارغًا لاستخدام القيمة الافتراضية للمزوّد. Azure: عنوان chat/completions الكامل مع api-version.
Leave empty to allow every Desk user. Portal (website) users never see the assistant.,اتركه فارغًا للسماح لكل مستخدمي Desk. مستخدمو البوابة (الموقع) لا يرون المساعد أبدًا.
Maximum document fields,الحد الأقصى لحقول المستند
Maximum message length (characters),الحد الأقصى لطول الرسالة (أحرف)
Maximum reply tokens,الحد الأقصى لرموز الرد
Messages per conversation,الرسائل لكل محادثة
Messages per user per day,الرسائل لكل مستخدم يوميًا
Messages per user per minute,الرسائل لكل مستخدم في الدقيقة
Minimal,مبسّط
Minimize,تصغير
Myrmex Assistant,مساعد Myrmex
Never share these DocTypes,عدم مشاركة أنواع المستندات هذه أبدًا
New conversation,محادثة جديدة
New {0},{0} جديد
No saved conversations yet.,لا توجد محادثات محفوظة بعد.
"One Desk route per line, * as wildcard. Examples: Form/Sales Order/*, List/*, Workspaces/Selling",مسار واحد من Desk في كل سطر، و* كحرف بدل. أمثلة: Form/Sales Order/*، List/*، Workspaces/Selling
"One DocType per line. User, credentials, logs and the assistant's own records are always excluded.",نوع مستند واحد في كل سطر. المستخدمون وبيانات الاعتماد والسجلات وسجلات المساعد مستبعدة دائمًا.
Only on listed pages,في الصفحات المدرجة فقط
Open assistant,فتح المساعد
Open automatically when the Desk loads,الفتح تلقائيًا عند تحميل Desk
Open once right after login,الفتح مرة واحدة بعد تسجيل الدخول مباشرة
Open {0},فتح {0}
"OpenAI Compatible also covers Ollama, vLLM, LM Studio, Mistral, Groq and similar services.",يشمل OpenAI Compatible أيضًا Ollama وvLLM وLM Studio وMistral وGroq والخدمات المشابهة.
Page not shared,الصفحة غير مُشارَكة
Page patterns,أنماط الصفحات
Pagination alignment,محاذاة ترقيم الصفحات
Pagination style,نمط ترقيم الصفحات
Panel background,خلفية اللوحة
Panel height (px),ارتفاع اللوحة (px)
Panel width (px),عرض اللوحة (px)
Pills,أزرار دائرية
Please log in to use the assistant.,يرجى تسجيل الدخول لاستخدام المساعد.
Previous messages sent with each question,الرسائل السابقة المرسلة مع كل سؤال
Prompt sent,النص المُرسَل
Prompt tokens,رموز الطلب
Provider latency (ms),زمن استجابة المزوّد (ms)
"Put credentials in the API key field, not in the endpoint URL.",ضع بيانات الاعتماد في حقل مفتاح API وليس في العنوان.
Replace the suggestion table with the default prompts?,هل تريد استبدال جدول الاقتراحات بالاقتراحات الافتراضية؟
Reply language,لغة الردود
Reply tokens,رموز الرد
Request timeout (seconds),مهلة الطلب (ثوانٍ)
Restore default suggestions,استعادة الاقتراحات الافتراضية
"Rounding of report tables, child tables and grids. List views follow the card radius.",استدارة جداول التقارير والجداول الفرعية والشبكات. أما شاشات القوائم فتتبع استدارة البطاقات.
Row background,خلفية الصفوف
Row height (px),ارتفاع الصفوف (px)
Row hover,تمرير المؤشر فوق الصفوف
Row text,نص الصفوف
Rows,الصفوف
Search or type a command,ابحث أو اكتب أمرًا
Selected row,الصف المحدد
Semibold,شبه عريض
Send message,إرسال الرسالة
